<DOCID>APW19980227.0494</DOCID>
0	e37	['dispute']	1	e41	['signed']	0	4
14	e62	['create']	43	e112	['said']	4	4
17	e66	['join']	33	e93	['under', '##mini', '##ng']	4	4
17	e66	['join']	32	e92	['claimed']	4	4
17	e66	['join']	35	e158	['signing']	4	4
17	e66	['join']	24	e77	['consult']	0	4
17	e66	['join']	28	e86	['said']	4	4
17	e66	['join']	27	e84	['exercises']	4	4
17	e66	['join']	34	e98	['visit']	4	4
17	e66	['join']	26	e83	['holding']	4	4
17	e66	['join']	36	e99	['aimed']	4	4
17	e66	['join']	29	e87	['remain']	0	4
17	e66	['join']	37	e101	['doubling']	0	4
17	e66	['join']	21	e72	['expansion']	0	4
17	e66	['join']	38	e102	['fell']	4	4
17	e66	['join']	25	e82	['ass', '##ailed']	4	4
17	e66	['join']	39	e105	['signed']	4	4
17	e66	['join']	30	e89	['called']	4	4
17	e66	['join']	40	e106	['calls']	4	4
17	e66	['join']	22	e74	['released']	4	4
17	e66	['join']	31	e90	['developing']	0	4
17	e66	['join']	41	e107	['cooperation']	0	4
17	e66	['join']	42	e111	['manufacturing']	0	4
16	e65	['assured']	45	e114	['coordination']	2	2
17	e66	['join']	43	e112	['said']	4	4
17	e66	['join']	44	e113	['calls']	4	4
17	e66	['join']	45	e114	['coordination']	0	4
17	e66	['join']	23	e75	['pledged']	4	4
17	e66	['join']	47	e118	['imp', '##over', '##ished']	4	4
17	e66	['join']	46	e116	['improvement']	0	4
17	e66	['join']	19	e156	['according']	4	4
17	e66	['join']	48	e119	['transition']	4	4
17	e66	['join']	49	e121	['planned']	4	4
16	e65	['assured']	38	e102	['fell']	4	4
16	e65	['assured']	49	e121	['planned']	5	5
17	e66	['join']	50	e123	['visit']	0	4
17	e66	['join']	18	e69	['said']	0	4
18	e69	['said']	19	e156	['according']	0	5
17	e66	['join']	20	e71	['opposed']	0	4
18	e69	['said']	21	e72	['expansion']	0	2
18	e69	['said']	22	e74	['released']	5	5
18	e69	['said']	23	e75	['pledged']	5	5
16	e65	['assured']	42	e111	['manufacturing']	2	2
18	e69	['said']	24	e77	['consult']	1	2
18	e69	['said']	25	e82	['ass', '##ailed']	4	5
16	e65	['assured']	37	e101	['doubling']	2	1
16	e65	['assured']	47	e118	['imp', '##over', '##ished']	4	4
18	e69	['said']	27	e84	['exercises']	4	2
16	e65	['assured']	50	e123	['visit']	1	1
16	e65	['assured']	39	e105	['signed']	5	4
16	e65	['assured']	21	e72	['expansion']	0	2
16	e65	['assured']	44	e113	['calls']	5	4
16	e65	['assured']	46	e116	['improvement']	2	2
18	e69	['said']	28	e86	['said']	5	5
16	e65	['assured']	43	e112	['said']	5	5
15	e64	['help']	47	e118	['imp', '##over', '##ished']	4	4
16	e65	['assured']	18	e69	['said']	5	5
16	e65	['assured']	19	e156	['according']	0	5
16	e65	['assured']	48	e119	['transition']	4	2
15	e64	['help']	48	e119	['transition']	4	4
15	e64	['help']	50	e123	['visit']	0	3
16	e65	['assured']	22	e74	['released']	5	5
15	e64	['help']	43	e112	['said']	4	4
18	e69	['said']	29	e87	['remain']	2	1
15	e64	['help']	46	e116	['improvement']	0	4
16	e65	['assured']	17	e66	['join']	0	1
16	e65	['assured']	41	e107	['cooperation']	2	2
18	e69	['said']	30	e89	['called']	5	5
16	e65	['assured']	23	e75	['pledged']	5	5
16	e65	['assured']	25	e82	['ass', '##ailed']	4	5
15	e64	['help']	49	e121	['planned']	4	4
15	e64	['help']	38	e102	['fell']	4	4
16	e65	['assured']	27	e84	['exercises']	4	2
15	e64	['help']	42	e111	['manufacturing']	0	4
18	e69	['said']	32	e92	['claimed']	4	5
16	e65	['assured']	24	e77	['consult']	1	2
16	e65	['assured']	28	e86	['said']	5	5
16	e65	['assured']	30	e89	['called']	5	5
16	e65	['assured']	26	e83	['holding']	4	2
18	e69	['said']	26	e83	['holding']	4	2
15	e64	['help']	44	e113	['calls']	4	4
16	e65	['assured']	29	e87	['remain']	2	1
16	e65	['assured']	40	e106	['calls']	5	4
16	e65	['assured']	32	e92	['claimed']	4	5
18	e69	['said']	31	e90	['developing']	1	1
15	e64	['help']	45	e114	['coordination']	0	4
18	e69	['said']	33	e93	['under', '##mini', '##ng']	4	2
16	e65	['assured']	33	e93	['under', '##mini', '##ng']	4	2
16	e65	['assured']	36	e99	['aimed']	5	4
18	e69	['said']	35	e158	['signing']	5	4
18	e69	['said']	36	e99	['aimed']	5	4
16	e65	['assured']	34	e98	['visit']	2	5
15	e64	['help']	41	e107	['cooperation']	0	4
19	e156	['according']	38	e102	['fell']	4	4
19	e156	['according']	44	e113	['calls']	5	4
19	e156	['according']	33	e93	['under', '##mini', '##ng']	4	2
18	e69	['said']	34	e98	['visit']	2	5
19	e156	['according']	45	e114	['coordination']	2	2
18	e69	['said']	37	e101	['doubling']	2	1
18	e69	['said']	38	e102	['fell']	4	4
19	e156	['according']	46	e116	['improvement']	2	2
18	e69	['said']	20	e71	['opposed']	2	2
16	e65	['assured']	31	e90	['developing']	1	1
19	e156	['according']	47	e118	['imp', '##over', '##ished']	4	4
19	e156	['according']	41	e107	['cooperation']	2	2
20	e71	['opposed']	24	e77	['consult']	0	1
19	e156	['according']	42	e111	['manufacturing']	2	2
20	e71	['opposed']	26	e83	['holding']	0	1
15	e64	['help']	39	e105	['signed']	4	4
18	e69	['said']	39	e105	['signed']	5	4
18	e69	['said']	40	e106	['calls']	5	4
18	e69	['said']	43	e112	['said']	5	5
19	e156	['according']	39	e105	['signed']	5	4
19	e156	['according']	43	e112	['said']	5	5
18	e69	['said']	42	e111	['manufacturing']	2	2
20	e71	['opposed']	29	e87	['remain']	0	1
20	e71	['opposed']	31	e90	['developing']	0	1
20	e71	['opposed']	35	e158	['signing']	3	1
15	e64	['help']	37	e101	['doubling']	0	3
19	e156	['according']	36	e99	['aimed']	5	4
18	e69	['said']	41	e107	['cooperation']	2	2
19	e156	['according']	49	e121	['planned']	5	5
19	e156	['according']	40	e106	['calls']	5	4
20	e71	['opposed']	38	e102	['fell']	0	4
19	e156	['according']	50	e123	['visit']	1	1
18	e69	['said']	44	e113	['calls']	5	4
20	e71	['opposed']	37	e101	['doubling']	0	1
20	e71	['opposed']	23	e75	['pledged']	3	3
18	e69	['said']	45	e114	['coordination']	2	2
19	e156	['according']	48	e119	['transition']	4	2
20	e71	['opposed']	47	e118	['imp', '##over', '##ished']	0	4
20	e71	['opposed']	50	e123	['visit']	0	1
20	e71	['opposed']	30	e89	['called']	3	3
21	e72	['expansion']	22	e74	['released']	3	3
20	e71	['opposed']	39	e105	['signed']	3	4
21	e72	['expansion']	23	e75	['pledged']	3	3
18	e69	['said']	47	e118	['imp', '##over', '##ished']	4	4
21	e72	['expansion']	24	e77	['consult']	0	3
18	e69	['said']	49	e121	['planned']	5	5
20	e71	['opposed']	27	e84	['exercises']	0	2
20	e71	['opposed']	36	e99	['aimed']	3	4
21	e72	['expansion']	25	e82	['ass', '##ailed']	0	3
21	e72	['expansion']	26	e83	['holding']	0	3
21	e72	['expansion']	27	e84	['exercises']	0	3
15	e64	['help']	40	e106	['calls']	4	4
20	e71	['opposed']	32	e92	['claimed']	0	3
18	e69	['said']	46	e116	['improvement']	2	2
19	e156	['according']	37	e101	['doubling']	2	1
20	e71	['opposed']	41	e107	['cooperation']	0	2
19	e156	['according']	21	e72	['expansion']	0	2
18	e69	['said']	48	e119	['transition']	4	2
21	e72	['expansion']	28	e86	['said']	3	3
18	e69	['said']	50	e123	['visit']	1	1
21	e72	['expansion']	29	e87	['remain']	0	3
20	e71	['opposed']	48	e119	['transition']	0	1
20	e71	['opposed']	44	e113	['calls']	3	3
21	e72	['expansion']	30	e89	['called']	3	3
15	e64	['help']	34	e98	['visit']	4	4
20	e71	['opposed']	33	e93	['under', '##mini', '##ng']	0	2
21	e72	['expansion']	31	e90	['developing']	0	3
15	e64	['help']	33	e93	['under', '##mini', '##ng']	4	4
20	e71	['opposed']	40	e106	['calls']	3	3
21	e72	['expansion']	32	e92	['claimed']	0	3
21	e72	['expansion']	33	e93	['under', '##mini', '##ng']	0	3
21	e72	['expansion']	34	e98	['visit']	0	3
20	e71	['opposed']	22	e74	['released']	0	3
19	e156	['according']	20	e71	['opposed']	2	2
16	e65	['assured']	20	e71	['opposed']	2	2
20	e71	['opposed']	43	e112	['said']	3	3
16	e65	['assured']	35	e158	['signing']	5	4
15	e64	['help']	35	e158	['signing']	4	4
21	e72	['expansion']	37	e101	['doubling']	0	3
20	e71	['opposed']	21	e72	['expansion']	0	2
21	e72	['expansion']	35	e158	['signing']	3	3
19	e156	['according']	34	e98	['visit']	2	5
21	e72	['expansion']	39	e105	['signed']	3	4
19	e156	['according']	32	e92	['claimed']	4	5
21	e72	['expansion']	38	e102	['fell']	0	4
21	e72	['expansion']	43	e112	['said']	3	3
22	e74	['released']	23	e75	['pledged']	0	5
19	e156	['according']	22	e74	['released']	5	5
21	e72	['expansion']	50	e123	['visit']	0	3
21	e72	['expansion']	42	e111	['manufacturing']	0	3
20	e71	['opposed']	34	e98	['visit']	0	3
21	e72	['expansion']	40	e106	['calls']	3	3
21	e72	['expansion']	36	e99	['aimed']	3	4
21	e72	['expansion']	44	e113	['calls']	3	3
21	e72	['expansion']	47	e118	['imp', '##over', '##ished']	0	4
19	e156	['according']	35	e158	['signing']	5	4
22	e74	['released']	25	e82	['ass', '##ailed']	0	5
21	e72	['expansion']	49	e121	['planned']	3	3
19	e156	['according']	23	e75	['pledged']	5	5
19	e156	['according']	24	e77	['consult']	1	2
19	e156	['according']	25	e82	['ass', '##ailed']	4	5
21	e72	['expansion']	45	e114	['coordination']	0	3
19	e156	['according']	30	e89	['called']	5	5
19	e156	['according']	29	e87	['remain']	2	1
22	e74	['released']	28	e86	['said']	5	5
14	e62	['create']	47	e118	['imp', '##over', '##ished']	4	4
19	e156	['according']	26	e83	['holding']	4	2
21	e72	['expansion']	41	e107	['cooperation']	0	3
19	e156	['according']	27	e84	['exercises']	4	2
22	e74	['released']	27	e84	['exercises']	0	2
19	e156	['according']	28	e86	['said']	5	5
12	e59	['rat', '##ification']	33	e93	['under', '##mini', '##ng']	4	4
12	e59	['rat', '##ification']	37	e101	['doubling']	0	4
22	e74	['released']	29	e87	['remain']	2	1
12	e59	['rat', '##ification']	31	e90	['developing']	0	4
20	e71	['opposed']	25	e82	['ass', '##ailed']	0	3
12	e59	['rat', '##ification']	34	e98	['visit']	4	4
21	e72	['expansion']	48	e119	['transition']	0	3
12	e59	['rat', '##ification']	30	e89	['called']	4	4
20	e71	['opposed']	28	e86	['said']	3	3
12	e59	['rat', '##ification']	35	e158	['signing']	4	4
20	e71	['opposed']	46	e116	['improvement']	0	3
22	e74	['released']	24	e77	['consult']	1	2
22	e74	['released']	30	e89	['called']	5	5
21	e72	['expansion']	46	e116	['improvement']	0	3
12	e59	['rat', '##ification']	44	e113	['calls']	4	4
15	e64	['help']	36	e99	['aimed']	4	4
12	e59	['rat', '##ification']	36	e99	['aimed']	4	4
12	e59	['rat', '##ification']	32	e92	['claimed']	4	4
12	e59	['rat', '##ification']	42	e111	['manufacturing']	0	4
12	e59	['rat', '##ification']	47	e118	['imp', '##over', '##ished']	4	4
12	e59	['rat', '##ification']	48	e119	['transition']	4	4
22	e74	['released']	31	e90	['developing']	1	1
12	e59	['rat', '##ification']	38	e102	['fell']	4	4
12	e59	['rat', '##ification']	39	e105	['signed']	4	4
12	e59	['rat', '##ification']	40	e106	['calls']	4	4
22	e74	['released']	32	e92	['claimed']	4	5
12	e59	['rat', '##ification']	29	e87	['remain']	0	4
12	e59	['rat', '##ification']	41	e107	['cooperation']	0	4
12	e59	['rat', '##ification']	24	e77	['consult']	0	4
12	e59	['rat', '##ification']	28	e86	['said']	4	4
12	e59	['rat', '##ification']	43	e112	['said']	4	4
12	e59	['rat', '##ification']	45	e114	['coordination']	0	4
12	e59	['rat', '##ification']	46	e116	['improvement']	0	4
22	e74	['released']	33	e93	['under', '##mini', '##ng']	4	2
22	e74	['released']	36	e99	['aimed']	5	4
12	e59	['rat', '##ification']	49	e121	['planned']	4	4
14	e62	['create']	48	e119	['transition']	4	4
12	e59	['rat', '##ification']	50	e123	['visit']	0	4
13	e61	['saying']	14	e62	['create']	1	1
22	e74	['released']	37	e101	['doubling']	2	1
13	e61	['saying']	16	e65	['assured']	5	5
13	e61	['saying']	17	e66	['join']	0	1
22	e74	['released']	34	e98	['visit']	2	5
13	e61	['saying']	15	e64	['help']	0	2
13	e61	['saying']	18	e69	['said']	5	5
22	e74	['released']	38	e102	['fell']	4	4
13	e61	['saying']	21	e72	['expansion']	2	2
13	e61	['saying']	19	e156	['according']	0	5
12	e59	['rat', '##ification']	27	e84	['exercises']	4	4
13	e61	['saying']	22	e74	['released']	5	5
13	e61	['saying']	23	e75	['pledged']	5	5
13	e61	['saying']	25	e82	['ass', '##ailed']	4	5
22	e74	['released']	39	e105	['signed']	5	4
13	e61	['saying']	24	e77	['consult']	1	2
13	e61	['saying']	27	e84	['exercises']	4	2
13	e61	['saying']	28	e86	['said']	5	5
22	e74	['released']	26	e83	['holding']	4	2
20	e71	['opposed']	42	e111	['manufacturing']	0	3
22	e74	['released']	40	e106	['calls']	5	4
19	e156	['according']	31	e90	['developing']	1	1
13	e61	['saying']	20	e71	['opposed']	2	2
13	e61	['saying']	30	e89	['called']	5	5
13	e61	['saying']	29	e87	['remain']	2	1
13	e61	['saying']	32	e92	['claimed']	4	5
13	e61	['saying']	33	e93	['under', '##mini', '##ng']	4	2
13	e61	['saying']	34	e98	['visit']	2	5
11	e58	['called']	32	e92	['claimed']	4	5
11	e58	['called']	39	e105	['signed']	5	4
13	e61	['saying']	36	e99	['aimed']	5	4
13	e61	['saying']	26	e83	['holding']	4	2
12	e59	['rat', '##ification']	26	e83	['holding']	4	4
13	e61	['saying']	37	e101	['doubling']	2	1
13	e61	['saying']	31	e90	['developing']	1	1
11	e58	['called']	33	e93	['under', '##mini', '##ng']	4	2
11	e58	['called']	34	e98	['visit']	2	5
12	e59	['rat', '##ification']	25	e82	['ass', '##ailed']	4	4
12	e59	['rat', '##ification']	23	e75	['pledged']	4	4
13	e61	['saying']	38	e102	['fell']	4	4
13	e61	['saying']	39	e105	['signed']	5	4
13	e61	['saying']	40	e106	['calls']	5	4
13	e61	['saying']	41	e107	['cooperation']	2	2
11	e58	['called']	41	e107	['cooperation']	2	2
15	e64	['help']	31	e90	['developing']	0	3
11	e58	['called']	38	e102	['fell']	4	4
11	e58	['called']	43	e112	['said']	5	5
15	e64	['help']	32	e92	['claimed']	4	4
11	e58	['called']	44	e113	['calls']	5	4
